id,Nome do Filme,Ano de Lancamento,Decada do Filme,Duracao,Lancamento,Classificao do Filme,Publico Alvo,Diretor,Estrela,Genero,Tematica,Pais de Origem,Produtora,Idioma,Indicado a Premiações de Cinema,Nota
tt0082799,Movie Madness,1982,1980,1h 29m,Cinema,+16,Jovens,Henry Jaglom,Peter Riegert,Paródia,Comédia,Estados Unidos,National Lampoon,Inglês,0,3.2
tt0084052,Harry Tracy: The Last of the Wild Bunch,1982,1980,1h 47m,Cinema,+10,Família,Outros,Bruce Dern,Drama,Faroeste,Canadá,Canadian Film Development Corporation CFDC,Inglês,0,6.1
tt12801356,MLK/FBI,2020,2020,1h 44m,Televisao,+10,Família,Outros,Outros,Outros,Biografia,Estados Unidos,Outros,Inglês,17,7.0
tt7556122,The Old Guard,2020,2020,2h 5m,Cinema,+16,Jovens,Gina PrinceBythewood,Charlize Theron,Aventura Global,Super-Herói,Estados Unidos,Netflix,Inglês,24,6.7
tt8633478,Run,2020,2020,1h 30m,Cinema,+12,Família,Outros,Outros,Thriller Psicológico,Suspense / Mistério,Estados Unidos,Lionsgate,Inglês,5,6.7
tt8560172,The Very Excellent Mr. Dundee,2020,2020,1h 28m,Cinema,+12,Família,Outros,Paul Hogan,Comédia,Indefinido,Austrália,Outros,Inglês,0,5.0
tt10620868,#Alive,2020,2020,1h 38m,Televisao,+18,Adultos,Outros,Outros,Terror Zumbi,Ação,Coreia do Sul,Outros,Coreano,0,6.3
tt10888708,The Sleepover,2020,2020,1h 40m,Televisao,+10,Família,Outros,Outros,Ação,Aventura,Estados Unidos,LD Entertainment,Inglês,0,5.7
tt11958344,A Whisker Away,2020,2020,1h 44m,Televisao,+10,Família,Outros,Outros,Anime,Aventura,Japão,Outros,Japonês,2,6.7
tt9824114,Original Gangster,2020,2020,1h 50m,Televisao,+18,Adultos,Outros,Steve Guttenberg,Crime,Indefinido,Reino Unido,Outros,Inglês,0,5.0
tt10978398,Sky High,2020,2020,2h 1m,Televisao,+18,Adultos,Outros,Outros,Thriller,Indefinido,Espanha,Instituto de la Cinematografa y de las Artes Audiovisuales ICAA,Espanhol,0,5.6
tt1611224,Abraham Lincoln: Vampire Hunter,2012,2010,1h 45m,Cinema,+16,Jovens,Timur Bekmambetov,Rufus Sewell,Fantasia Sombria,Terror de Vampiros,Estados Unidos,Tim Burton Productions,Inglês,0,5.9
tt1649419,The Impossible,2012,2010,1h 54m,Cinema,+12,Família,JA Bayona,Naomi Watts,Desastre,Tragédia,Espanha,Summit Entertainment,Inglês,71,7.5
tt1568338,Man on a Ledge,2012,2010,1h 42m,Cinema,+12,Família,Outros,Sam Worthington,Comédia Sombria,Ação,Estados Unidos,Summit Entertainment,Inglês,0,6.6
tt0860907,Evangelion: 3.0 You Can (Not) Redo,2012,2010,1h 36m,Televisao,+14,Jovens,Kazuya Tsurumaki,Megumi Ogata,Animação Adulta,Anime,Japão,Outros,Inglês,0,6.9
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,2010,2h 32m,Cinema,+12,Família,Rian Johnson,Daisy Ridley,Épico de Ação,Épico de Aventura,Estados Unidos,Lucasfilm,Inglês,103,6.9
tt4649466,Kingsman: The Golden Circle,2017,2010,2h 21m,Cinema,+16,Jovens,Matthew Vaughn,Taron Egerton,Crime de Drogas,Sátira,Reino Unido,Twentieth Century Fox,Inglês,14,6.7
tt2091256,Captain Underpants: The First Epic Movie,2017,2010,1h 29m,Cinema,+10,Família,Outros,Kevin Hart,Comédia de Amigos,Animação Computadorizada,Estados Unidos,DreamWorks Animation,Inglês,15,6.2
tt5308322,Happy Death Day,2017,2010,1h 36m,Cinema,+12,Família,Christopher Landon,Jessica Rothe,Comédia Sombria,Terror Slasher,Estados Unidos,Universal Pictures,Inglês,0,6.6
tt4287320,The Circle,2017,2010,1h 50m,Cinema,+12,Família,James Ponsoldt,Emma Watson,Thriller de Conspiração,Thriller Cibernético,United Arab Emirates,EuropaCorp,Inglês,0,5.4
tt6574272,Phoenix Forgotten,2017,2010,1h 27m,Cinema,+12,Família,Outros,Outros,Terror Found Footage,Terror,Estados Unidos,Scott Free Productions,Inglês,0,5.4
tt6217608,The Rider,2017,2010,1h 44m,Cinema,+16,Jovens,Outros,Outros,Drama,Faroeste,Estados Unidos,Outros,Inglês,59,7.4
tt6595896,Pokémon the Movie: I Choose You!,2017,2010,1h 38m,Cinema,+10,Família,Kunihiko Yuyama,Outros,Anime,Ação,Japão,Outros,Japonês,0,6.3
tt7207238,Jane,2017,2010,1h 30m,Cinema,+10,Família,Outros,Outros,Outros,Biografia,Estados Unidos,Outros,Inglês,36,7.8
tt3685624,3 Idiots,2017,2010,1h 46m,Cinema,+12,Família,Outros,Martha Higareda,Comédia,Indefinido,México,Outros,Espanhol,0,4.4
tt7215388,The China Hustle,2017,2010,1h 22m,Cinema,+16,Jovens,Outros,Outros,Documentário,Indefinido,Estados Unidos,2929 Productions,Inglês,0,7.1
